Iteration, Estimate
1845,16.4779
1846,16.4699
1847,16.4239
1848,16.3667
1849,16.3128
1850,16.262
1851,16.2141
1852,16.1688
1853,16.1259
1854,16.0854
1855,16.047
1856,16.0107
1857,15.9762
1858,15.9437
1859,15.9128
1860,15.8724
1861,15.7138
1862,15.5673
1863,15.4327
1864,15.3097
1865,15.1979
1866,15.0967
1867,15.0056
1868,14.9241
1869,14.8516
1870,14.7879
1871,14.7327
1872,14.6855
1873,14.6461
1874,14.6135
1875,14.5876
1876,14.5685
1877,14.5559
1878,14.5496
1879,14.5492
1880,14.5547
1881,14.5657
1882,14.5821
1883,14.6037
1884,14.6303
1885,14.6616
